Content	Keywords
Yat Siu - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contact us Donate Contribute Help Learn to edit Community portal Recent changes Upload file Search Search Appearance Create account Log in Personal tools Create account Log in Pages for logged out editors learn more Contributions Talk Contents move to sidebar hide (Top) 1 Early years 2 Career 3 References 4 External links Toggle the table of contents Yat Siu 2 languages Deutsch فارسی Edit links Article Talk English Read Edit View history Tools Tools move to sidebar hide Actions Read Edit View history General What links here Related changes Upload file Special pages Permanent link Page information Cite this page Get shortened URL Download QR code Wikidata item Print/export Download as PDF Printable version In other projects Appearance move to sidebar hide From Wikipedia, the free encyclopedia Hong Kong entrepreneur and angel investor In this Chinese name , the family name is Siu (蕭) . Yat Siu Yat Siu in 2010 at the Horasis China Meeting in Luxembourg Born 1973 (age 50–51) Vienna , Austria Nationality Austrian Occupation Entrepreneur Known for Co-founder of Animoca Brands Website twitter .com /ysiu Yat Siu ( Chinese : 蕭逸; born 1973) is a Hong Kong -based entrepreneur and angel investor , who was born and raised in Vienna , Austria 	family, free
Early years [ edit ] Yat Siu's mother, who was from Taiwan and was born in Lisbon, Portugal, conducted for an orchestra . [ 1 ] His father, who was born in Hong Kong, first was an instrumentalist and then became a businessman	mother
He studied at the Music and Arts University of the City of Vienna . [ 2 ] He trained specifically in the cello, flute, and piano	studied
[ 1 ] According to the South China Morning Post , he "implies he was pushed" into becoming a musician like his mother and father. [ 1 ] Career [ edit ] His initial job was at Atari Germany	mother, musician
[ 3 ] [ 4 ] Years later Siu became a director and head of East Coast Operations for Lexicor, as well as AT&T Solutions System Integration practice. [ 4 ] After moving to Hong Kong, he founded Cybercity, an Internet and email provider, in 1996	director
[ 5 ] [ 6 ] The company was later renamed to Freenation, which the South China Morning Post called "Asia's first free web page and e-mail provider". [ 4 ] Yat Siu is also the CEO and Founder of the game-company Outblaze and co-founder of Animoca and Animoca Brands 	free
In 2009 he sold a part of his business to IBM's Lotus Software Division which opened its first cloud computing laboratory in Hong Kong with the assets it acquired from Outblaze. Animoca Brands was worth 2.2 billion dollars in its last funding round	cloud
[ 7 ] He is a member of the advisory board of the British Academy of Film and Television Arts (BAFTA) and on the board of directors for the Asian Youth Orchestra . [ 5 ] In 2023 Yat Siu has been appointed to the Task Force on Promoting Web3 Development newly established by the Government of the Hong Kong Special Administrative Region	web3, 2023
[ 8 ] He is currently serves as a director at the Dalton Foundation, an organization that oversees the operation of the progressive and child-centered Dalton School Hong Kong [ 9 ] References [ edit ] ^ a b c Scott, Jason (27 May 2001). "Time tight for Outblaze chief; Despite a couple of false starts, hard work has quickly established wunderkind as a local Internet heavyweight" 	director
South China Morning Post . Archived from the original on 5 January 2022 	2022
Retrieved 5 January 2022 . ^ Einhorn, Bruce (19 August 2002)	2022
"How Outblaze Outlasted the Bubble". Business Week Online 	bubble
EBSCO host 7232255 . ^ Whyte, Jemima (26 November 2021)	2021
"If you haven't heard of this $2.2b crypto co-founder you soon will" . Australian Financial Review 	crypto
Archived from the original on 30 December 2021 . Retrieved 30 December 2021 	2021
^ a b c Davis, Chris (6 October 2012). "Cyber success - Passion, ambition, drive and luck helped propel Hong Kong technology pioneer Yat Siu to the top, writes Chris Davis" 	pioneer
South China Morning Post . Archived from the original on 5 January 2022 	2022
Retrieved 5 January 2022 . ^ a b "Yat Siu" 	2022
Tatler . 2021	2021
Archived from the original on 5 January 2022 . Retrieved 5 January 2022 	2022
^ Tsui, Enid (6 July 2017). "Internet whizz Yat Siu on programming at 13 and landing a job at Atari as a schoolboy" 	schoolboy
South China Morning Post . Archived from the original on 5 January 2022 	2022
Retrieved 5 January 2022 . ^ Lee, Zinnia (21 October 2021)	2021, 2022
"Hong Kong Blockchain Game Maker Animoca Hits $2.2 Billion Valuation Amid NFT Mania" . Forbes 	blockchain, nft
Archived from the original on 22 February 2022 . Retrieved 22 February 2022 	2022
^ "Task Force on Promoting Web3 Development established" . Government of the Hong Kong Special Administrative Region 	web3
30 June 2023 . Retrieved 2 November 2023 	2023
^ "Yat Siu" . Retrieved 28 June 2024 	2024
External links [ edit ] Yat Siu at TED Interview with Yat Siu on Bloomberg video Forbes article on Outblaze and Yat Siu Asiaweek article by Yat Siu; Swift & Total "If you haven't heard of this $2.2b crypto co-founder you soon will" Retrieved from " https://en.wikipedia.org/w/index.php?title=Yat_Siu&oldid=1231327812 " Categories : 1973 births Living people Atari people Hong Kong chief executives Music and Arts University of the City of Vienna alumni Video game developers Hidden categories: Articles with short description Short description is different from Wikidata Use dmy dates from November 2023 Articles with hCards This page was last edited on 27 June 2024, at 19:13 (UTC) . Text is available under the Creative Commons Attribution-ShareAlike License 4.0 ;
additional terms may apply	crypto, 2024, 2023
By using this site, you agree to the Terms of Use and Privacy Policy . Wikipedia® is a registered trademark of the Wikimedia Foundation, Inc	policy
, a non-profit organization. Privacy policy About Wikipedia Disclaimers Contact Wikipedia Code of Conduct Developers Statistics Cookie statement Mobile view	policy
