contents	keywords
Hinata Uzumaki (うずまきヒナタ, Uzumaki Hinata, née Hyūga (日向)) is a kunoichi of Konohagakure. Formerly the heiress of the Hyūga clan, she lost the position upon being deemed unsuited for the responsibilities of leading the clan.	Konoha, Konoha
Nonetheless, Hinata persevered and from her observation of Naruto Uzumaki especially, Hinata found an example to follow. Through her membership with Team 8, she sought to become strong enough to change herself, if even a little at a time.	Naruto
A few years after the Fourth Shinobi World War, Hinata joined the Uzumaki clan after marrying Naruto. Hinata and Hanabi fight for the heiress position.	Naruto, Shinobi
Hinata is the oldest daughter of Hiashi Hyūga. When she was still a child, Hinata was almost kidnapped by the-then Head Ninja of Kumogakure, who was visiting Konoha under the guise of signing a peace treaty between their two villages.	Konoha, Konoha, Ninja
"Hiashi killed him and saved Hinata, setting in motion the events that would become known as the ""Hyūga Affair"". [9]
 Because Hiashi was the head of the Hyūga clan, Hinata was raised to be its heiress and her family expected great things from her."	other
But even at a young age, her father came to believe that Hinata was not suited for the role of heiress, as she struggled under his gruesome training regime, on top of him also believing that her timid personality prevented her from truly excelling. When Hinata's younger sister Hanabi started displaying superior talent, Hiashi began to reconsider Hinata's selection as heiress.	other
In the anime, Hinata and Hanabi were pitted against each other to determine who would one day lead the Hyūga. Because Hinata was unwilling to harm Hanabi - a hesitation Hanabi did not share - she was defeated, disappointing her father.	other
"[10] Hinata was then disinherited and turned over to the care of Kurenai Yūhi. [11]
 Hinata meets Naruto."	Naruto
On the day of her enrolment in Konoha's Academy,[12] Hinata was picked on by three bullies because of her unusual eyes. Naruto, despite not knowing her, immediately came to her defence, but he was outnumbered and knocked unconscious, and the bullies damaged the red scarf he was wearing.	Naruto, Konoha, Konoha
When he regained consciousness, Hinata thanked him for helping her and returned his scarf to him, but he let her keep it. Hinata started watching Naruto from that point onwards, and by doing so saw Naruto's desire to gain attention and his struggle to exceed the extremely low expectations others had for him.	Naruto
Despite this, Naruto never lost faith in himself or his dream to become the Hokage. Hinata was inspired by this and started emulating Naruto, adopting his refusal to never give up as a means of earning her father's approval.	Naruto, Kage
"In the anime, Hinata's growing affections for Naruto were noticed by the Hyūga's elders, who warned her to stay away from him. [13]
 As a child, Hinata was soft-spoken and polite, always addressing people with proper honourifics."	Naruto
She is kind, always thinking of others more than for herself, caring for their feelings and well-being. She doesn't like being confrontational for any reason.	other
This led to her being meek or timid to others, as her overwhelming kindness can render her unable to respond or act for fear of offending somebody. [14] Her father's constant push to alter this personality trait when she was younger only made it worse, eroding Hinata's self-confidence and making her even more bashful because she gained so little faith in herself and opinions.	other
"[3] Despite being disinherited, Hinata loves her family very much, as shown when she ""agreed"" to marry Toneri in order to rescue Hanabi even though she knew it meant breaking Naruto's heart and the possibility she and Toneri actually would get married. Hinata's outlook sees a shift after her appointment to Team 8."	Naruto
Whereas her father and much of the Hyūga clan had decided she was a lost cause who would never amount to anything,[15] her team considers her a valuable member with her special strong points. Originally, she would over-rely on her teammates, looking to them in times of difficulty to save her from situations that make her uncomfortable.	other
"It is for her teammates - among other reasons - that Hinata starts seeking to change herself, as she wishes to help the team rather than burden it. [16]
 Hinata dreams of being with Naruto."	Naruto
Hinata's primary motivation is Naruto Uzumaki, with whom she has been fascinated since meeting him. He initially gained her attention because of his kindness to her and outspoken nature, and then kept her attention because of similarities that Hinata perceived to herself: Naruto had a painful childhood without the love of parents, a fate worse than the mere difficulty she had with her own father, and he craves the attention and acknowledgement of anybody, just as Hinata wants to please her father.	Naruto
[17] But whereas Hinata lost faith in herself, Naruto always believed he can accomplish any given task if he tries hard enough. She admires him deeply for this courage and over time fell deeply in love with him, which manifests as increased shyness and speechlessness when around him, something that became apparent to everyone, apart from ironically Naruto himself.	Naruto
Hinata strives to prove herself to others, but mostly to gain the attention and worthiness of Naruto. She emulates him to this purpose, adopting his nindō of never giving up to improve herself.	Naruto
To that end, she stops running from confrontation, instead doing all that she can to face it, even in the face of failure to keep trying, and willing to risk her life for her loved ones and village. [18] By the end of Part I, her clan's faith in her is restored and strengthened.	other
"[19]
 Hinata's intimidating demeanour. Throughout the years, Naruto remains her primary motivation; she willingly faced Pain to protect Naruto, despite knowing she has no chance of winning."	Naruto
