Index	Content
1	Su Zhu's Wallet Sells Millions of Altcoins After 2 Months in Jail Markets Wiki News Videos Events Log in / Sign up en Su Zhu's Wallet Sells Millions of Altcoins After 2 Months in Jail Jasper 2023/11/30 11:06 Follow Zhu Su, co-founder of the now-defunct Three Arrows Capital, has rekindled crypto market interest. Reports indicate a notable transaction involving millions of GEAR tokens linked to Zhu's Ethereum address, which had remained inactive for months
2	Post-Arrest Transaction: Two Months After Detainment This development follows Zhu's arrest in Singapore over two months ago on charges of fraud and money laundering. The Ethereum address in question, suzhu.eth (0xc5…09ee), associated with Zhu's Twitter account, executed a move today
3	The address requested 3.75 million Gearbox Protocol (GEAR) tokens and swiftly exchanged them for 14.5 ETH (approximately $29,500) via the decentralised exchange CoW. Airdrop Origins: October Distribution of GEAR Tokens The GEAR tokens involved in the transaction were part of an October airdrop, distributing 10% of the total supply to eligible Ethereum addresses
4	The suzhu.eth address, verified by the Arkham service, is linked to Zhu's Twitter account, which has been inactive since September 21. Controversial History: Three Arrows Capital's Downfall Zhu's arrest is part of a turbulent history that includes Three Arrows Capital's collapse last summer
5	The hedge fund, once boasting nearly $3 billion in assets under management, faced controversies like a $1.2 billion loss from a Bitcoin short position in May 2022. Additionally, allegations surfaced of document forgery, with the fund accused of deceiving investors and regulators
6	Remaining Assets: STETH, ETH, and USDT Holdings While the GEAR token transaction raises questions, the suzhu.eth address still holds other crypto assets. Notably, 64,516 STETH ($131,320), 17,622 ETH ($35,880), and 700 USDT ($700) remain in the address
7	It remains unclear whether Zhu retains access to this address or if the GEAR tokens have changed hands. Awaiting Clarity: Liquidators Yet to Comment The liquidators overseeing Three Arrows Capital have not provided any comments on this recent transaction
8	The lack of official statements leaves the crypto community in anticipation, wondering about the implications and potential future moves from Zhu Su. Preview Gain a broader understanding of the crypto industry through informative reports, and engage in in-depth discussions with other like-minded authors and readers
9	You are welcome to join us in our growing Coinlive community: https://t.me/CoinliveSG Add Comment Login Leave your comments Add a comment 0 Comments Earliest Load more comments More news about suzhu May 23 Su Zhu: Bought some TAO at $469 Bullish Bearish Apr 06 Su Zhu: Sold SOL and added ETH position Bullish 1 Bearish 1 Dec 13 Su Zhu will be released after a court hearing at the end of the year Bullish Bearish Dec 11 Su Zhu’s personal X account posts again Bullish Bearish Nov 29 The suzhu.eth address changed after more than two months. Bullish Bearish Oct 06 Photos of Su Zhu’s arrest scene revealed Bullish Bearish 1 Sep 29 OX fell 26% in a short time, possibly due to news of Su Zhu’s arrest Bullish Bearish Sep 29 Three Arrows Capital founder Su Zhu arrested in Singapore Bullish Bearish Apr 07 Zhu Su: OPNX Official Twitter Account Has Been Restored Bullish 1 Bearish Apr 06 Zhu Su: The OPNX Twitter account has been canceled and a Chinese community has been created Bullish Bearish More More news about fake su zhu Zhu Su: How to lose money from 10 billion U to 0 U? Zhu Su is known for his investment achievements and influence on the market in the cryptocurrency field, but he has also been pursued and charged for alleged fraud, tax evasion and money laundering
10	JinseFinance Feb 05, 2024 10:17 am Is 3AC Su Zhu Out of Prison, Plotting a Big Move with OPNX? A wallet linked to Su Zhu, co-founder of Three Arrows Capital (3AC), recently saw movement for the first time following months of dormancy since his arrest. Etherscan records unveiled multiple transactions involving ERC-20 tokens to and from an address labelled suzhu.eth on Nov
11	29. Joy Nov 30, 2023 1:30 pm $768,000 Stolen from Users with Fake Ledger Live App on Microsoft Store Scammers exploit fake Ledger Live app on Microsoft Store, stealing over $760,000 worth of Bitcoin from unsuspecting users
12	Hui Xin Nov 06, 2023 3:22 pm 3AC Co-Founder Su Zhu Arrested in Singapore 3AC's other Co-Founder Kyle Davies is still at large, and his whereabouts remain unknown. Clement Oct 02, 2023 11:23 am Three Arrows Capital founder Su Zhu arrested in Singapore Crypto hedge fund founders Zhu and Davies arrested in Singapore for non-cooperation with creditors
13	Brian Sep 30, 2023 9:51 am Su Zhu Claims DCG & FTX Attacked LUNA, Caused 3AC Downfall He accused them of conspiring to attack Luna and stETH. Beincrypto Jan 03, 2023 3:20 pm SBF and Zhu Su Trade Blows Over Alleged Media Control SBF and Zhu Su trade blows over alleged media control
14	cryptopotato Dec 09, 2022 5:40 pm 3AC Co-Founders Su Zhu, Kyle Davies Subpoenaed in Bankruptcy Case Both Zhu and Davies’ locations also remained unclear. It is speculated that they currently reside in Dubai and Bali, respectively
15	cryptopotato Dec 08, 2022 3:20 pm Three Arrows Founders Su Zhu and Kyle Davies Pull a Do Kwon The co-founders had reportedly disclosed only partial information regarding the defunct hedge fund's assets. Beincrypto Oct 18, 2022 7:36 pm Su Zhu’s cryptic statement as rumors swirl of 3AC liquidations and insolvency “We are in the process of communicating with relevant parties and fully committed to working this out” Su Zhu stated
